"1","R14","4.7Ω","Resistor, 4.7Ω, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW04024R70FKED"
"1","R15","64.9KΩ","Resistor, 64.9KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW040264K9FKED "
"1","R21","133KΩ","Resistor, 133KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW0402133KFKED"
"2","R12,R13","10KΩ","Resistor, 10KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW040210K0FKED"
"4","R2,R5,R11,R16","100KΩ","Resistor, 100KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW0402100KFKED"
"6","R6,R7,R17,R18,R19,R20","5.1KΩ","Resistor, 5.1KΩ, 62.5mW, 1%, 0402","DNP","Vishay / Dale","CRCW04025K10FKED"
"1","SW1","BOOT","Switch, SMD","","Omron","B3U-1000P"
"1","SW2","RESET","Switch, SMD","","Omron","B3U-1000P"
"1","U1","SN74LV1T34DBV","IC, Single Power Supply, Single Buffer GATE, CMOS Logic, Level Shifter, SOT-23-5","","Texas Instruments","SN74LV1T34DBV"
"1","U3","MAX98357A","Mono DAC with amplifier, I2S, PCM, TDM, 32-bit, 96khz, 3.2W, TQFP-16","","Maxim","MAX98357AETE"
"1","U4","TLV75533PDRV","500mA Low Dropout Voltage Regulator, Fixed Output 3.3V, WSON6","","Texas Instruments","TLV75533PDRV"
"1","U6","ESP32-S3-WROOM-2-N32R16V","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD","","Espressif","ESP32-S3-WROOM-2-N32R16V"
"1","U7","INA228","IC, 85-V, 20-Bit, Ultra-Precise Power-Energy-Charge Monitor With I2C Interface, VSSOP-10","","Texas Instruments","INA228AIDGSR"
"1","U8","TSL2591","Light to digital converter, 2.7 to 3.6V Vdd, DFN-6","","AMS","TSL2591"
"1","U9","SGP41","Indoor Air Quality Sensor, MOx based, DFN-6","","Sensirion","SGP41-D-R4 "
"1","U10","SCD41","Photoacoustic CO2 sensor, I2C, 2.4-5.5 V, High accuracy  400 - 5000 ppm","","Sensirion","SCD41-D-R2"
"1","U11","BMP581","Barometric Pressure Sensor, 24-bit, Low-power and Low-noise, SMD","","Bosch Sensortec ","BMP581"
"1","U12","MCP6042","Dual Operational Amplifiers, Rail-to-Rail Input/Output, MSOP-8","","Microchip","MCP6042T-I/MS"
"1","U13","ADS1115","Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10","","Texas Instruments","ADS1115IDGS"
"1","U14","SHT45","Digital Humidity and Temperature Sensor, ±1%RH, ±0.1°C, I2C, 1.08-3.6V, 16bit, DFN-4","","Sensirion","SHT45-AD1B-R2"
"1","U15","EKMC1603111","Passive Infrared (PIR) Motion Sensor, THT","","Panasonic","EKMC1603111"
"1","U16","TGS5141","Carbon Monoxide Sensor, Long life, THT","","Figaro","TGS5141-P00"
"1","U17","DS18S20","High-Precision 1-Wire Digital Thermometer TO-92","","Maxim","DS18S20+"
"2","U18,U19","INA238","IC, 85V, 16-Bit, High-Precision Power Monitor With I2C Interface, VSSOP-10","","Texas Instruments","INA238AIDGSR"
"2","U2,U5","TLV62568DRL","High Efficiency Synchronous Buck Converter, Adjustable Output 0.6V-5.5V, 1A, SOT-563-6","","Texas Instruments","TLV62568DRL"
